ticker,sector,feature_group,noise_intensity,seed_count,mean_total_clipped_values,std_total_clipped_values,clipped_values_ci95_lower,clipped_values_ci95_upper,mean_clipped_proportion,std_clipped_proportion,clipped_proportion_ci95_lower,clipped_proportion_ci95_upper
XLE,Energy,volatility,0.2,30,3.3,1.7449434335263982,2.6755800116595556,3.924419988340444,0.0008283132530120481,0.00043798780962008,0.0006715813282278001,0.000985045177796296
XLE,Energy,volatility,0.5,30,94.7,10.501723996399434,90.9420063313261,98.45799366867391,0.02377008032128514,0.0026359748986946375,0.02282680881810394,0.02471335182446634
XLE,Energy,volatility,1.0,30,440.3666666666667,19.49798103311766,433.389403762071,447.3439295712623,0.11053380187416331,0.004894071544457245,0.10878248086397364,0.11228512288435298
XLE,Energy,volume_and_range,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,volume_and_range,0.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,volume_and_range,0.2,30,0.2,0.4068381021724863,0.054414854869191315,0.34558514513080874,7.530120481927712e-05,0.00015317699629988185,2.0487520658581084e-05,0.00013011488897997315
XLE,Energy,volume_and_range,0.5,30,28.9,4.513199033639153,27.284972467406675,30.515027532593322,0.010881024096385543,0.0016992466241111267,0.010272956501282635,0.011489091691488451
XLE,Energy,volume_and_range,1.0,30,213.56666666666666,12.989872270703641,208.91830057297352,218.2150327603598,0.08040913654618473,0.004890765162162516,0.07865899870970387,0.08215927438266558
XLF,Financials,all_predictors,0.05,30,0.1,0.30512857662936466,-0.009188858848106482,0.2091888588481065,6.845564074479737e-06,2.088777222271116e-05,-6.290292201606287e-07,1.4320157369120102e-05
XLF,Financials,all_predictors,0.1,30,2.7666666666666666,1.7554512797005501,2.138486493864376,3.3948468394689573,0.00018939393939393937,0.00012017054214817566,0.00014639146316158103,0.0002323964156262977
XLF,Financials,all_predictors,0.2,30,37.5,5.829473271290439,35.413949780747984,39.586050219252016,0.0025670865279299013,0.0003990603279908571,0.0024242846235451795,0.002709888432314623
XLF,Financials,all_predictors,0.5,30,478.6666666666667,20.277953602344855,471.4102941627424,485.923039170591,0.03276743336984301,0.0013881403068417887,0.03227069374060394,0.033264172999082076
