ticker,sector,metric,feature_group,noise_intensity,noise_regime,seed_count,mean_paired_difference,std_paired_difference,paired_difference_ci95_lower,paired_difference_ci95_upper,proportion_seeds_favouring_logistic_regression,proportion_seeds_favouring_random_forest,proportion_ties,robustness_classification
XLK,Technology,roc_auc,returns,0.05,moderate,30,-4.673776072518905e-05,0.0004991412279606261,-0.00022535315521596638,0.0001318776337655883,0.5666666666666667,0.43333333333333335,0.0,No clear difference
XLK,Technology,roc_auc,returns,0.1,moderate,30,3.0751001523462445e-05,0.0008008594659132761,-0.0002558328777930683,0.0003173348808399932,0.5,0.5,0.0,No clear difference
XLK,Technology,roc_auc,returns,0.2,moderate,30,-0.00030252590795389305,0.0013108339777342518,-0.000771601822603419,0.00016655000669563288,0.5,0.5,0.0,No clear difference
XLK,Technology,roc_auc,returns,0.5,stress,30,-0.002423498655231389,0.0024475213225858346,-0.0032993329122900806,-0.0015476643981726977,0.9,0.1,0.0,Logistic Regression more robust
XLK,Technology,roc_auc,returns,1.0,stress,30,-0.004176775940867774,0.003982760765320944,-0.00560198857691215,-0.0027515633048233986,0.8333333333333334,0.16666666666666666,0.0,Logistic Regression more robust
XLK,Technology,roc_auc,volatility,0.05,moderate,30,-7.071789952793056e-05,0.0013808884768239775,-0.0005648624947228194,0.00042342669566695836,0.5,0.5,0.0,No clear difference
XLK,Technology,roc_auc,volatility,0.1,moderate,30,0.0008316876375331232,0.001817462782189003,0.00018131693355552645,0.00148205834151072,0.3,0.7,0.0,Random Forest more robust
XLK,Technology,roc_auc,volatility,0.2,moderate,30,0.0015508096823336648,0.002708472277132273,0.0005815953254593482,0.0025200240392079815,0.3333333333333333,0.6666666666666666,0.0,Random Forest more robust
XLK,Technology,roc_auc,volatility,0.5,stress,30,0.00755515431924615,0.004978389620193244,0.005773660473160265,0.009336648165332036,0.06666666666666667,0.9333333333333333,0.0,Random Forest more robust
XLK,Technology,roc_auc,volatility,1.0,stress,30,0.02952538133122683,0.006518150388841542,0.02719289117045617,0.031857871491997494,0.0,1.0,0.0,Random Forest more robust
XLK,Technology,roc_auc,volume_and_range,0.05,moderate,30,2.0688747202176748e-06,0.0005187540779310647,-0.00018356488799646517,0.00018770263743690053,0.5,0.5,0.0,No clear difference
XLK,Technology,roc_auc,volume_and_range,0.1,moderate,30,0.00010250333841143287,0.0009669132177057276,-0.00024350211284028978,0.0004485087896631555,0.5,0.5,0.0,No clear difference
XLK,Technology,roc_auc,volume_and_range,0.2,moderate,30,0.0006713498467151618,0.0017607201029664797,4.128424972142284e-05,0.0013014154437089006,0.3333333333333333,0.6666666666666666,0.0,Random Forest more robust
XLK,Technology,roc_auc,volume_and_range,0.5,stress,30,0.003338881679173927,0.0028138787404202404,0.0023319481038351656,0.004345815254512688,0.13333333333333333,0.8666666666666667,0.0,Random Forest more robust
XLK,Technology,roc_auc,volume_and_range,1.0,stress,30,0.015695988263837925,0.00397039547599314,0.01427520048975156,0.01711677603792429,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,all_predictors,0.05,moderate,30,-0.009663654618473733,0.003243854180496149,-0.010824452928978314,-0.008502856307969152,1.0,0.0,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,all_predictors,0.1,moderate,30,-0.008559236947791028,0.006201566800820793,-0.010778439126531696,-0.0063400347690503595,0.9,0.1,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,all_predictors,0.2,moderate,30,0.00012550200803221646,0.007630929218761322,-0.0026051909429571393,0.002856194959021572,0.4,0.5666666666666667,0.03333333333333333,No clear difference
XLP,Consumer Staples,accuracy,all_predictors,0.5,stress,30,0.041315261044176814,0.010554649663662966,0.0375383281687065,0.045092193919647125,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,all_predictors,1.0,stress,30,0.06300200803212859,0.011183552633601958,0.05900002511915479,0.06700399094510238,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,momentum,0.05,moderate,30,-0.0020080321285139333,0.002618485471371246,-0.0029450451205047254,-0.0010710191365231414,0.7333333333333333,0.26666666666666666,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,momentum,0.1,moderate,30,-0.0026606425702810164,0.0030999162431774707,-0.0037699333514207975,-0.0015513517891412355,0.7666666666666667,0.23333333333333334,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,momentum,0.2,moderate,30,-0.003865461847389426,0.004547118468536403,-0.005492627293875038,-0.0022382964009038143,0.7666666666666667,0.2,0.03333333333333333,Logistic Regression more robust
XLP,Consumer Staples,accuracy,momentum,0.5,stress,30,2.510040160652005e-05,0.006341858576135347,-0.0022443045441826698,0.0022945053473957095,0.5,0.5,0.0,No clear difference
XLP,Consumer Staples,accuracy,momentum,1.0,stress,30,0.014231927710843443,0.00966624524416524,0.010772906273993972,0.017690949147692914,0.1,0.9,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,returns,0.05,moderate,30,-0.001480923694779,0.001550588741315761,-0.002035794749720028,-0.0009260526398379724,0.7666666666666667,0.16666666666666666,0.06666666666666667,Logistic Regression more robust
XLP,Consumer Staples,accuracy,returns,0.1,moderate,30,-0.0028363453815259897,0.0028839295896310167,-0.003868346331317706,-0.0018043444317342736,0.8,0.16666666666666666,0.03333333333333333,Logistic Regression more robust
XLP,Consumer Staples,accuracy,returns,0.2,moderate,30,-0.0054216867469878164,0.0035175166454573174,-0.006680413912890841,-0.004162959581084792,0.9,0.1,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,returns,0.5,stress,30,-0.006425702811244831,0.004736668215271548,-0.008120697763473846,-0.004730707859015815,0.8333333333333334,0.13333333333333333,0.03333333333333333,Logistic Regression more robust
XLP,Consumer Staples,accuracy,returns,1.0,stress,30,-0.0034136546184737808,0.0052272546161712405,-0.0052842036596457784,-0.0015431055773017827,0.7666666666666667,0.23333333333333334,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volatility,0.05,moderate,30,-0.00720381526104402,0.0038785519171437876,-0.0085917372396874,-0.005815893282400641,0.9666666666666667,0.03333333333333333,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volatility,0.1,moderate,30,-0.009663654618473788,0.00496776769809599,-0.01144134745855301,-0.007885961778394566,0.9666666666666667,0.03333333333333333,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volatility,0.2,moderate,30,-0.002961847389558153,0.006299943897312714,-0.005216253360160607,-0.0007074414189557,0.6666666666666666,0.3333333333333333,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volatility,0.5,stress,30,0.03398594377510047,0.011619821125964791,0.029827844187121352,0.03814404336307958,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,volatility,1.0,stress,30,0.07547690763052217,0.012306198530424386,0.07107319104278527,0.07988062421825907,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,accuracy,volume_and_range,0.05,moderate,30,-0.003765060240963689,0.0028724941407658835,-0.004792969067933633,-0.002737151413993745,0.8333333333333334,0.1,0.06666666666666667,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volume_and_range,0.1,moderate,30,-0.006777108433734765,0.0030635399259976363,-0.007873382116948685,-0.005680834750520844,1.0,0.0,0.0,Logistic Regression more robust
XLP,Consumer Staples,accuracy,volume_and_range,0.2,moderate,30,-0.0071536144578311645,0.004970390941947783,-0.008932246013666944,-0.005374982901995386,0.9333333333333333,0.06666666666666667,0.0,Logistic Regression more robust
