sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLK,Random Forest,all_predictors,1.0,roc_auc,30,0.8044715905885008,0.7147537098685324,0.0135150983456148,0.709917394037747,0.7195900256993177,0.0897178807199684,0.0135150983456148,0.084881564889183,0.0945541965507538
XLK,Random Forest,all_predictors,1.0,average_precision,30,0.6370969413832709,0.5089557848897605,0.0164654909537983,0.5030636846234426,0.5148478851560783,0.1281411564935104,0.0164654909537983,0.1222490562271926,0.1340332567598283
XLE,Logistic Regression,volatility,0.2,balanced_accuracy,30,0.6536102508046395,0.6577686686504322,0.0076826238572543,0.6550194770106343,0.66051786029023,-0.0041584178457926,0.0076826238572543,-0.0069076094855904,-0.0014092262059948
XLE,Logistic Regression,volatility,0.2,f1_score,30,0.482233502538071,0.487534737207825,0.0096091357435722,0.484096152143301,0.490973322272349,-0.0053012346697539,0.0096091357435722,-0.0087398197342779,-0.0018626496052299
XLE,Logistic Regression,volatility,0.2,roc_auc,30,0.7425669520859902,0.734027043986964,0.0047592921341448,0.7323239531693403,0.7357301348045876,0.0085399080990263,0.0047592921341448,0.0068368172814027,0.01024299891665
XLE,Logistic Regression,volatility,0.2,average_precision,30,0.466840404729364,0.4606286965859016,0.0046973069845084,0.4589477868692063,0.462309606302597,0.0062117081434623,0.0046973069845084,0.004530798426767,0.0078926178601576
XLE,Random Forest,volatility,0.2,balanced_accuracy,30,0.6200582984150118,0.6268892330114776,0.0090241623779493,0.6236599779774427,0.6301184880455125,-0.0068309345964656,0.0090241623779493,-0.0100601896305006,-0.0036016795624307
XLE,Random Forest,volatility,0.2,f1_score,30,0.4322766570605187,0.4418154991460226,0.0129944414198615,0.437165498003302,0.4464655002887431,-0.0095388420855039,0.0129944414198615,-0.0141888432282245,-0.0048888409427833
XLE,Random Forest,volatility,0.2,roc_auc,30,0.7141100382583349,0.7123672597720695,0.0062391027861367,0.71013462551349,0.7145998940306489,0.0017427784862654,0.0062391027861367,-0.0004898557723139,0.0039754127448449
XLE,Random Forest,volatility,0.2,average_precision,30,0.4534410905413171,0.4552731024057658,0.0067718077805472,0.4528498421131225,0.457696362698409,-0.0018320118644487,0.0067718077805472,-0.0042552721570919,0.0005912484281944
XLE,Logistic Regression,volatility,0.5,balanced_accuracy,30,0.6536102508046395,0.6432839416206149,0.0122200772822174,0.638911043125756,0.6476568401154738,0.0103263091840245,0.0122200772822174,0.0059534106891656,0.0146992076788834
XLE,Logistic Regression,volatility,0.5,f1_score,30,0.482233502538071,0.4705444082079006,0.0148382796196753,0.4652345980392205,0.4758542183765806,0.0116890943301704,0.0148382796196753,0.0063792841614904,0.0169989044988505
XLE,Logistic Regression,volatility,0.5,roc_auc,30,0.7425669520859902,0.7021090666180847,0.0108083805429435,0.6982413373135509,0.7059767959226185,0.0404578854679055,0.0108083805429435,0.0365901561633717,0.0443256147724393
